821.25,160
,
822.25,159
,
823.15,159
,
824.15,160
,
825.15,160
,
826.35,159
,
827.25,160
,
828.25,159
,
829.26,160
,
830.15,160
,
831.15,159
,
832.15,160
,
833.15,159
,
834.26,160
,
835.25,159
,
836.25,159
,
837.45,159
,
838.35,159
,
839.15,159
,
840.15,160
,
841.15,160
,
842.25,160
,
843.25,160
,
844.25,160
,
845.25,159
,
846.15,159
,
847.15,160
,
848.15,160
,
849.35,159
,
850.25,160
,
851.25,159
,
852.25,159
,
853.25,160
,
854.15,160
,
855.15,160
,
856.15,159
,
857.35,159
,
858.25,159
,
859.25,160
,
860.25,160
,
861.25,159
,
862.15,159
,
863.15,160
,
864.15,159
,
865.25,159
,
866.25,160
,
867.25,160
,
868.25,160
,
869.25,159
,
870.15,160
,
871.15,160
,
872.15,160
,
873.25,160
,
874.25,160
,
875.25,159
,
876.25,159
,
877.15,159
,
878.15,159
,
879.15,160
,
880.35,160
,
881.45,159
,
882.26,159
,
883.25,159
,
884.25,159
,
885.15,159
,
886.15,159
,
887.15,160
,
888.35,160
,
889.45,159
,
890.25,159
,
891.25,159
,
892.25,160
,
893.15,160
,
894.15,160
,
895.15,160
,
896.35,160
,
897.25,159
,
898.25,159
,
899.25,159
,
900.25,159
,
901.35,160
,
902.15,160
,
903.15,159
,
904.35,159
,
905.25,160
,
906.25,159
,
907.25,159
,
908.15,160
,
909.15,159
,
910.15,159
,
911.15,160
,
912.25,160
,
913.25,159
,
914.25,159
,
915.25,159
,
916.15,159
,
917.35,160
,
918.15,160
,
919.35,159
,
920.25,159
,
921.45,160
,
922.45,159
,
923.45,160
,
924.15,159
,
925.15,159
,
926.15,159
,
927.55,160
,
928.25,159
,
929.45,159
,
930.25,159
,
931.25,159
,
932.15,160
,
933.15,160
,
934.16,160
,
935.35,160
,
936.25,160
,
937.25,159
,
938.25,159
,
939.25,160
,
940.15,161
,
941.2,160
,
942.16,160
,
943.25,160
,
944.25,160
,
945.25,160
,
946.25,160
,
947.15,159
,
948.15,159
,
949.15,160
,
950.15,159
,
951.25,160
,
952.45,159
,
953.25,159
,
954.25,159
,
955.15,159
,
956.15,160
,
957.15,160
,
958.35,160
,
959.25,160
,
960.45,159
,
961.25,159
,
962.25,159
,
963.15,159
,
964.15,160
,
965.15,160
,
966.36,159
,
967.25,160
,
968.25,159
,
969.25,160
,
970.25,160
,
971.15,159
,
972.15,160
,
973.15,160
,
974.35,160
,
975.25,159
,
976.45,160
,
977.25,160
,
978.25,159
,
979.15,159
,
980.15,159
,
981.15,160
,
982.35,159
,
983.25,159
,
984.25,159
,
985.45,159
,
986.15,160
,
987.15,160
,
988.15,160
,
989.35,159
,
990.25,159
,
991.25,159
,
992.25,159
,
